Date,Trend,Seasonality,Noise,Sales
2008/8/1,1000.1,173.2050808,16.20419847,1189.509279
2008/9/1,1000.15,200,-19.25411402,1180.895886
2008/10/1,1000.2,173.2050808,-33.84610002,1139.558981
2008/11/1,1000.25,100,30.58381444,1130.833814
2008/12/1,1000.3,2.45E-14,51.54997612,1051.849976
2009/1/1,999.75,-100,46.56400596,946.314006
2009/2/1,999.8,-173.2050808,-41.96087616,784.6340431
2009/3/1,999.85,-200,-15.46061879,784.3893812
2009/4/1,999.9,-173.2050808,16.56317157,843.2580908
2009/5/1,999.95,-100,48.77725636,948.7272564
2009/6/1,1000,0,-23.95871189,976.0412881
2009/7/1,1000.05,100,-9.282948833,1090.767051
2009/8/1,1000.1,173.2050808,-55.3167487,1117.988332
2009/9/1,1000.15,200,-59.8103312,1140.339669
2009/10/1,1000.2,173.2050808,40.62629112,1214.031372
2009/11/1,1000.25,100,67.81200143,1168.062001
2009/12/1,1000.3,2.45E-14,-3.600506079,996.6994939
2010/1/1,999.75,-100,50.17664489,949.9266449
2010/2/1,999.8,-173.2050808,18.08180125,844.6767205
2010/3/1,999.85,-200,-32.25598773,767.5940123
2010/4/1,999.9,-173.2050808,18.06978028,844.7646995
2010/5/1,999.95,-100,76.90182832,976.8518283
2010/6/1,1000,0,-1.791301955,998.208698
2010/7/1,1000.05,100,78.23218279,1178.282183
2010/8/1,1000.1,173.2050808,-130.9872552,1042.317826
2010/9/1,1000.15,200,41.09512522,1241.245125
2010/10/1,1000.2,173.2050808,4.352353412,1177.757434
2010/11/1,1000.25,100,-14.95036752,1085.299632
2010/12/1,1000.3,2.45E-14,4.588038827,1004.888039
2011/1/1,999.75,-100,-99.37844573,800.3715543
2011/2/1,999.8,-173.2050808,-10.98359439,815.6113249
2011/3/1,999.85,-200,17.85562858,817.7056286
2011/4/1,999.9,-173.2050808,73.89470224,900.5896215
2011/5/1,999.95,-100,-25.91351091,874.0364891
2011/6/1,1000,0,-40.42468014,959.5753199
2011/7/1,1000.05,100,-25.08785218,1074.962148
2011/8/1,1000.1,173.2050808,45.77010589,1219.075187
2011/9/1,1000.15,200,16.43755548,1216.587555
2011/10/1,1000.2,173.2050808,-26.48801019,1146.917071
2011/11/1,1000.25,100,25.66337166,1125.913372
2011/12/1,1000.3,2.45E-14,4.853877467,1005.153877
2012/1/1,999.75,-100,48.43224953,948.1822495
2012/2/1,999.8,-173.2050808,-35.10265469,791.4922645
2012/3/1,999.85,-200,-16.38310733,783.4668927
2012/4/1,999.9,-173.2050808,-19.60540766,807.0895116
2012/5/1,999.95,-100,-73.17574741,826.7742526
2012/6/1,1000,0,14.80601385,1014.806014
2012/7/1,1000.05,100,13.05276361,1113.102764
2012/8/1,1000.1,173.2050808,0.255672832,1173.560754
2012/9/1,1000.15,200,-11.72935667,1188.420643
2012/10/1,1000.2,173.2050808,-70.7685371,1102.636544
2012/11/1,1000.25,100,-21.03226614,1079.217734
2012/12/1,1000.3,2.45E-14,-17.13572583,983.1642742
2013/1/1,999.75,-100,-40.11386346,859.6361365
2013/2/1,999.8,-173.2050808,-8.064285583,818.5306337
2013/3/1,999.85,-200,20.20254284,820.0525428
2013/4/1,999.9,-173.2050808,94.30929506,921.0042143
2013/5/1,999.95,-100,8.728890642,908.6788906
2013/6/1,1000,0,12.87751954,1012.87752
2013/7/1,1000.05,100,-3.722295788,1096.327704
2013/8/1,1000.1,173.2050808,-95.93856076,1077.36652
2013/9/1,1000.15,200,-1.325693772,1198.824306
2013/10/1,1000.2,173.2050808,3.011510497,1176.416591
2013/11/1,1000.25,100,123.1621056,1223.412106
2013/12/1,1000.3,2.45E-14,-9.618048239,990.6819518
2014/1/1,999.75,-100,15.07736712,914.8273671
2014/2/1,999.8,-173.2050808,-1.735588485,824.8593308
2014/3/1,999.85,-200,-58.43390188,741.4160981
2014/4/1,999.9,-173.2050808,57.14114073,883.83606
2014/5/1,999.95,-100,37.59665163,937.5466516
2014/6/1,1000,0,39.55159735,1039.551597
2014/7/1,1000.05,100,-45.46937274,1054.580627
2014/8/1,1000.1,173.2050808,70.13971555,1243.444796
2014/9/1,1000.15,200,-70.09255314,1130.057447
2014/10/1,1000.2,173.2050808,29.34285469,1202.747935
2014/11/1,1000.25,100,109.5227813,1209.772781
2014/12/1,1000.3,2.45E-14,-49.52681626,950.7731837
2015/1/1,999.75,-100,-28.31488648,871.4351135
2015/2/1,999.8,-173.2050808,4.982568254,831.5774875
2015/3/1,999.85,-200,-25.17378271,774.6762173
2015/4/1,999.9,-173.2050808,-77.53317155,749.1617477
2015/5/1,999.95,-100,3.42814874,903.3781487
2015/6/1,1000,0,-53.11518569,946.8848143
2015/7/1,1000.05,100,23.67962153,1123.729622
2015/8/1,1000.1,173.2050808,-45.97121171,1127.333869
2015/9/1,1000.15,200,77.49672025,1277.64672
2015/10/1,1000.2,173.2050808,-39.16266462,1134.242416
2015/11/1,1000.25,100,-16.10307581,1084.146924
2015/12/1,1000.3,2.45E-14,40.67586087,1040.975861
2016/1/1,999.75,-100,-61.54321582,838.2067842
2016/2/1,999.8,-173.2050808,11.37299673,837.967916
2016/3/1,999.85,-200,65.35713771,865.2071377
2016/4/1,999.9,-173.2050808,-80.37416173,746.3207575
2016/5/1,999.95,-100,9.231692927,909.1816929
2016/6/1,1000,0,12.99413971,1012.99414
2016/7/1,1000.05,100,39.09114359,1139.141144
2016/8/1,1000.1,173.2050808,-61.84753554,1111.457545
2016/9/1,1000.15,200,-66.02283065,1134.127169
2016/10/1,1000.2,173.2050808,26.09707828,1199.502159
2016/11/1,1000.25,100,14.84923366,1115.099234
2016/12/1,1000.3,2.45E-14,12.52464252,1012.824643
2017/1/1,999.75,-100,17.32241047,917.0724105
2017/2/1,999.8,-173.2050808,-34.00123608,792.5936832
2017/3/1,999.85,-200,11.61268486,811.4626849
2017/4/1,999.9,-173.2050808,14.65362366,841.3485429
2017/5/1,999.95,-100,-35.7175709,864.2324291
2017/6/1,1000,0,93.28872556,1093.288726
2017/7/1,1000.05,100,23.69164605,1123.741646
2017/8/1,1000.1,173.2050808,-59.56517486,1113.739906
2017/9/1,1000.15,200,32.82768043,1232.97768
2017/10/1,1000.2,173.2050808,-48.73408351,1124.670997
2017/11/1,1000.25,100,39.35423019,1139.60423
2017/12/1,1000.3,2.45E-14,57.92977895,1058.229779
2018/1/1,999.75,-100,-41.03411592,858.7158841
2018/2/1,999.8,-173.2050808,48.16880646,874.7637257
2018/3/1,999.85,-200,20.63904635,820.4890463
2018/4/1,999.9,-173.2050808,41.103008,867.7979272
2018/5/1,999.95,-100,94.83964913,994.7896491
2018/6/1,1000,0,-12.2694058,987.7305942
2018/7/1,1000.05,100,-37.68680822,1062.363192
2018/8/1,1000.1,173.2050808,-44.47572148,1128.829359
2018/9/1,1000.15,200,-40.79051425,1159.359486
2018/10/1,1000.2,173.2050808,-3.855085471,1169.549995
2018/11/1,1000.25,100,17.05759874,1117.307599
2018/12/1,1000.3,2.45E-14,13.83453997,1014.13454
2019/1/1,999.75,-100,41.35916245,941.1091625
2019/2/1,999.8,-173.2050808,0.650094594,827.2450138
2019/3/1,999.85,-200,72.67670386,872.5267039
2019/4/1,999.9,-173.2050808,-13.23284166,813.4620776
2019/5/1,999.95,-100,136.0084583,1035.958458
2019/6/1,1000,0,31.28336739,1031.283367
2019/7/1,1000.05,100,-42.85787782,1057.192122
2019/8/1,1000.1,173.2050808,-53.5446249,1119.760456
2019/9/1,1000.15,200,24.12362076,1224.273621
2019/10/1,1000.2,173.2050808,-11.17313927,1162.231941
2019/11/1,1000.25,100,35.7000247,1135.950025
2019/12/1,1000.3,2.45E-14,23.66188123,1023.961881
2020/1/1,999.75,-100,-3.641445633,896.1085544
2020/2/1,999.8,-173.2050808,-42.3396859,784.2552333
2020/3/1,999.85,-200,-75.74236123,724.1076388
2020/4/1,999.9,-173.2050808,-22.3257476,804.3691716
2020/5/1,999.95,-100,42.81993972,942.7699397
2020/6/1,1000,0,10.70468721,1010.704687
2020/7/1,1000.05,100,-62.28693894,1037.763061
2020/8/1,1000.1,173.2050808,8.659046293,1181.964127
2020/9/1,1000.15,200,19.26586899,1219.415869
2020/10/1,1000.2,173.2050808,-44.19287181,1129.212209
2020/11/1,1000.25,100,7.686255297,1107.936255
2020/12/1,1000.3,2.45E-14,2.910435922,1003.210436
2021/1/1,999.75,-100,-57.14851489,842.6014851
2021/2/1,999.8,-173.2050808,17.88936802,844.4842873
2021/3/1,999.85,-200,28.03922632,827.8892263
2021/4/1,999.9,-173.2050808,54.15256216,880.8474814
2021/5/1,999.95,-100,52.6901026,952.6401026
2021/6/1,1000,0,-68.8834684,931.1165316
2021/7/1,1000.05,100,-46.891252,1053.158748
2021/8/1,1000.1,173.2050808,25.75176336,1199.056844
2021/9/1,1000.15,200,25.68929755,1225.839298
2021/10/1,1000.2,173.2050808,25.75238432,1199.157465
2021/11/1,1000.25,100,192.6365745,1292.886575
2021/12/1,1000.3,2.45E-14,28.54452553,1028.844526
2022/1/1,999.75,-100,56.77828201,956.528282
2022/2/1,999.8,-173.2050808,47.70008817,874.2950074
2022/3/1,999.85,-200,32.56956257,832.4195626
2022/4/1,999.9,-173.2050808,-15.76346223,810.931457
2022/5/1,999.95,-100,37.94846102,937.898461
2022/6/1,1000,0,-38.64126073,961.3587393
2022/7/1,1000.05,100,-11.84093034,1088.20907
2022/8/1,1000.1,173.2050808,-24.26817739,1149.036903
2022/9/1,1000.15,200,4.093706969,1204.243707
2022/10/1,1000.2,173.2050808,115.7329283,1289.138009
2022/11/1,1000.25,100,-93.36325963,1006.88674
2022/12/1,1000.3,2.45E-14,34.31300952,1034.61301
2023/1/1,999.75,-100,-80.63579356,819.1142064
2023/2/1,999.8,-173.2050808,-23.59659329,802.998326
2023/3/1,999.85,-200,54.44752985,854.2975298
2023/4/1,999.9,-173.2050808,3.214000955,829.9089202
2023/5/1,999.95,-100,-53.8872389,846.0627611
2023/6/1,1000,0,-35.76518546,964.2348145
2023/7/1,1000.05,100,33.97988745,1134.029887
2023/8/1,1000.1,173.2050808,-36.51833159,1136.786749
2023/9/1,1000.15,200,10.82292948,1210.972929
2023/10/1,1000.2,173.2050808,2.278591995,1175.683673
2023/11/1,1000.25,100,-32.58001738,1067.669983
2023/12/1,1000.3,2.45E-14,107.1972045,1107.497204
2024/1/1,999.75,-100,31.69595112,931.4459511
2024/2/1,999.8,-173.2050808,-101.2571293,725.3377899
2024/3/1,999.85,-200,9.322715738,809.1727157
2024/4/1,999.9,-173.2050808,-33.08932324,793.605596
2024/5/1,999.95,-100,42.62166674,942.5716667
2024/6/1,1000,0,-39.62603692,960.3739631
